t,x,v
0.445,0.127036,0.449702
0.446,0.127485,0.448023
0.447,0.127931,0.446319
0.448,0.128375,0.44459
0.449,0.128818,0.442837
0.45,0.129259,0.441059
0.451,0.129699,0.439256
0.452,0.130136,0.437428
0.453,0.130572,0.435576
0.454,0.131005,0.433698
0.455,0.131437,0.431796
0.456,0.131867,0.42987
0.457,0.132295,0.427918
0.458,0.132721,0.425942
0.459,0.133145,0.423941
0.46,0.133567,0.421915
0.461,0.133987,0.419864
0.462,0.134404,0.417789
0.463,0.13482,0.415689
0.464,0.135234,0.413565
0.465,0.135645,0.411415
0.466,0.136054,0.409241
0.467,0.136461,0.407043
0.468,0.136866,0.404819
0.469,0.137269,0.402572
0.47,0.137669,0.400299
0.471,0.138067,0.398002
0.472,0.138463,0.395681
0.473,0.138856,0.393335
0.474,0.139247,0.390964
0.475,0.139636,0.388569
0.476,0.140022,0.38615
0.477,0.140405,0.383706
0.478,0.140787,0.381237
0.479,0.141165,0.378745
0.48,0.141542,0.376228
0.481,0.141915,0.373687
0.482,0.142286,0.371121
0.483,0.142655,0.368531
0.484,0.143021,0.365917
0.485,0.143384,0.363279
0.486,0.143745,0.360617
0.487,0.144103,0.357931
0.488,0.144458,0.355221
0.489,0.14481,0.352486
0.49,0.14516,0.349728
0.491,0.145507,0.346946
0.492,0.145851,0.34414
0.493,0.146192,0.34131
0.494,0.146531,0.338456
0.495,0.146867,0.335579
0.496,0.147199,0.332678
0.497,0.147529,0.329753
0.498,0.147856,0.326805
0.499,0.14818,0.323833
0.5,0.1485,0.320838
0.501,0.148818,0.317819
0.502,0.149133,0.314777
0.503,0.149445,0.311712
0.504,0.149753,0.308623
0.505,0.150059,0.305511
0.506,0.150361,0.302377
0.507,0.15066,0.299219
0.508,0.150956,0.296038
0.509,0.151249,0.292834
0.51,0.151539,0.289607
0.511,0.151825,0.286357
0.512,0.152108,0.283085
0.513,0.152388,0.27979
0.514,0.152665,0.276472
0.515,0.152938,0.273132
0.516,0.153208,0.269769
0.517,0.153474,0.266384
0.518,0.153737,0.262977
0.519,0.153996,0.259547
0.52,0.154253,0.256095
0.521,0.154505,0.252621
0.522,0.154754,0.249125
0.523,0.155,0.245607
0.524,0.155242,0.242068
0.525,0.15548,0.238506
0.526,0.155715,0.234923
0.527,0.155947,0.231318
0.528,0.156174,0.227692
0.529,0.156398,0.224044
0.53,0.156619,0.220374
0.531,0.156836,0.216684
0.532,0.157048,0.212972
0.533,0.157258,0.209239
0.534,0.157463,0.205485
0.535,0.157665,0.201711
0.536,0.157863,0.197915
0.537,0.158057,0.194099
0.538,0.158247,0.190262
0.539,0.158434,0.186404
0.54,0.158616,0.182526
0.541,0.158795,0.178628
0.542,0.158969,0.174709
0.543,0.15914,0.170771
0.544,0.159307,0.166812
0.545,0.15947,0.162833
0.546,0.159629,0.158834
0.547,0.159784,0.154816
0.548,0.159934,0.150778
0.549,0.160081,0.146721
0.55,0.160224,0.142644
0.551,0.160362,0.138547
0.552,0.160497,0.134432
0.553,0.160627,0.130297
0.554,0.160753,0.126144
0.555,0.160875,0.121971
0.556,0.160993,0.11778
0.557,0.161106,0.11357
0.558,0.161216,0.109341
0.559,0.161321,0.105094
0.56,0.161422,0.100829
0.561,0.161518,0.0965459
0.562,0.16161,0.0922444
0.563,0.161698,0.0879249
0.564,0.161782,0.0835877
0.565,0.161861,0.0792327
0.566,0.161936,0.0748601
0.567,0.162007,0.0704701
0.568,0.162073,0.0660627
0.569,0.162134,0.0616381
0.57,0.162191,0.0571964
0.571,0.162244,0.0527377
0.572,0.162292,0.0482622
0.573,0.162336,0.04377
0.574,0.162375,0.0392612
0.575,0.16241,0.0347359
0.576,0.16244,0.0301944
0.577,0.162466,0.0256366
0.578,0.162487,0.0210628
0.579,0.162504,0.0164731
0.58,0.162515,0.0118676
0.581,0.162523,0.0072465
0.582,0.162525,0.00260986
0.583,0.162523,-0.00204214
0.584,0.162517,-0.00670938
0.585,0.162505,-0.0113917
0.586,0.162489,-0.016089
0.587,0.162468,-0.0208011
0.588,0.162443,-0.0255278
0.589,0.162412,-0.0302691
0.59,0.162377,-0.0350247
0.591,0.162338,-0.0397946
0.592,0.162293,-0.0445786
0.593,0.162244,-0.0493765
0.594,0.16219,-0.0541882
0.595,0.16213,-0.0590135
0.596,0.162067,-0.0638524
0.597,0.161998,-0.0687045
0.598,0.161924,-0.0735699
0.599,0.161846,-0.0784483
0.6,0.161763,-0.0833396
0.601,0.161674,-0.0882437
0.602,0.161581,-0.0931603
0.603,0.161483,-0.0980893
0.604,0.16138,-0.103031
0.605,0.161272,-0.107984
0.606,0.161159,-0.112949
