t,x,v
0.526,0.156363,0.236799
0.527,0.156596,0.233179
0.528,0.156826,0.229538
0.529,0.157052,0.225875
0.53,0.157274,0.22219
0.531,0.157493,0.218484
0.532,0.157707,0.214756
0.533,0.157918,0.211008
0.534,0.158126,0.207238
0.535,0.158329,0.203447
0.536,0.158529,0.199635
0.537,0.158724,0.195802
0.538,0.158916,0.191948
0.539,0.159104,0.188073
0.54,0.159289,0.184178
0.541,0.159469,0.180262
0.542,0.159645,0.176326
0.543,0.159818,0.17237
0.544,0.159986,0.168393
0.545,0.16015,0.164396
0.546,0.160311,0.160379
0.547,0.160467,0.156342
0.548,0.160619,0.152286
0.549,0.160768,0.148209
0.55,0.160912,0.144113
0.551,0.161052,0.139998
0.552,0.161188,0.135863
0.553,0.161319,0.131709
0.554,0.161447,0.127535
0.555,0.16157,0.123343
0.556,0.161689,0.119131
0.557,0.161804,0.114901
0.558,0.161915,0.110652
0.559,0.162021,0.106384
0.56,0.162123,0.102098
0.561,0.162221,0.0977937
0.562,0.162315,0.0934709
0.563,0.162404,0.08913
0.564,0.162488,0.0847711
0.565,0.162569,0.0803943
0.566,0.162645,0.0759997
0.567,0.162716,0.0715874
0.568,0.162784,0.0671576
0.569,0.162846,0.0627105
0.57,0.162905,0.058246
0.571,0.162958,0.0537644
0.572,0.163008,0.0492658
0.573,0.163052,0.0447503
0.574,0.163093,0.040218
0.575,0.163128,0.0356691
0.576,0.163159,0.0311037
0.577,0.163186,0.0265219
0.578,0.163208,0.021924
0.579,0.163225,0.0173099
0.58,0.163238,0.0126798
0.581,0.163246,0.00803393
0.582,0.163249,0.00337237
0.583,0.163248,-0.00130474
0.584,0.163242,-0.00599725
0.585,0.163231,-0.010705
0.586,0.163216,-0.0154279
0.587,0.163196,-0.0201658
0.588,0.163171,-0.0249186
0.589,0.163141,-0.029686
0.59,0.163107,-0.034468
0.591,0.163067,-0.0392644
0.592,0.163023,-0.0440751
0.593,0.162974,-0.0488998
0.594,0.162921,-0.0537386
0.595,0.162862,-0.0585911
0.596,0.162798,-0.0634574
0.597,0.16273,-0.0683371
0.598,0.162657,-0.0732302
0.599,0.162579,-0.0781365
0.6,0.162496,-0.0830559
0.601,0.162408,-0.0879882
0.602,0.162315,-0.0929332
0.603,0.162217,-0.0978908
0.604,0.162114,-0.102861
0.605,0.162006,-0.107843
0.606,0.161893,-0.112838
0.607,0.161776,-0.117844
0.608,0.161653,-0.122862
0.609,0.161525,-0.127892
0.61,0.161392,-0.132934
0.611,0.161254,-0.137986
0.612,0.161111,-0.14305
0.613,0.160963,-0.148125
0.614,0.160809,-0.153211
0.615,0.160651,-0.158307
0.616,0.160488,-0.163414
0.617,0.160319,-0.168531
0.618,0.160146,-0.173658
0.619,0.159967,-0.178796
0.62,0.159783,-0.183943
0.621,0.159594,-0.1891
0.622,0.159399,-0.194266
0.623,0.1592,-0.199442
0.624,0.158995,-0.204627
0.625,0.158786,-0.20982
0.626,0.158571,-0.215023
0.627,0.15835,-0.220234
0.628,0.158125,-0.225454
0.629,0.157894,-0.230682
0.63,0.157658,-0.235918
0.631,0.157417,-0.241162
0.632,0.157171,-0.246413
0.633,0.156919,-0.251673
0.634,0.156662,-0.256939
0.635,0.1564,-0.262213
0.636,0.156132,-0.267494
0.637,0.15586,-0.272782
0.638,0.155582,-0.278077
0.639,0.155298,-0.283378
0.64,0.155009,-0.288685
0.641,0.154715,-0.293998
0.642,0.154416,-0.299318
0.643,0.154111,-0.304643
0.644,0.153802,-0.309974
0.645,0.153486,-0.31531
0.646,0.153166,-0.320651
0.647,0.15284,-0.325998
0.648,0.152508,-0.331349
0.649,0.152171,-0.336705
0.65,0.151829,-0.342065
0.651,0.151482,-0.34743
0.652,0.151129,-0.352798
0.653,0.150771,-0.358171
0.654,0.150407,-0.363547
0.655,0.150039,-0.368927
0.656,0.149664,-0.37431
0.657,0.149285,-0.379697
0.658,0.148899,-0.385086
0.659,0.148509,-0.390478
0.66,0.148113,-0.395873
0.661,0.147712,-0.401269
0.662,0.147305,-0.406669
0.663,0.146893,-0.41207
0.664,0.146476,-0.417473
0.665,0.146053,-0.422877
0.666,0.145624,-0.428283
0.667,0.145191,-0.43369
0.668,0.144752,-0.439098
